hp,hp_label,hp_type,n_bins,n_bins_primary,n_bins_successful,coverage_primary,coverage_successful,task,paradigm
learning_rate,lr,continuous,10,10,10,1.0,1.0,mnist_dual,supervised
l1_reg,l1,continuous,10,10,7,1.0,0.7,mnist_dual,supervised
l2_reg,l2,continuous,10,10,10,1.0,1.0,mnist_dual,supervised
hidden_size,hidden,continuous,10,10,10,1.0,1.0,mnist_dual,supervised
batch_size,batch,continuous,10,10,10,1.0,1.0,mnist_dual,supervised
depth,depth,categorical,2,2,2,1.0,1.0,mnist_dual,supervised
activation,activ.,categorical,3,3,3,1.0,1.0,mnist_dual,supervised
optimizer,optim.,categorical,2,2,2,1.0,1.0,mnist_dual,supervised
init_scale,init,categorical,2,2,2,1.0,1.0,mnist_dual,supervised
learning_rate,lr,continuous,10,10,10,1.0,1.0,mnist_10way,supervised
l1_reg,l1,continuous,10,10,8,1.0,0.8,mnist_10way,supervised
l2_reg,l2,continuous,10,10,10,1.0,1.0,mnist_10way,supervised
hidden_size,hidden,continuous,10,10,10,1.0,1.0,mnist_10way,supervised
batch_size,batch,continuous,10,10,10,1.0,1.0,mnist_10way,supervised
depth,depth,categorical,2,2,2,1.0,1.0,mnist_10way,supervised
activation,activ.,categorical,3,3,3,1.0,1.0,mnist_10way,supervised
optimizer,optim.,categorical,2,2,2,1.0,1.0,mnist_10way,supervised
init_scale,init,categorical,2,2,2,1.0,1.0,mnist_10way,supervised
learning_rate,lr,continuous,10,10,10,1.0,1.0,fashion_10way,supervised
l1_reg,l1,continuous,10,10,7,1.0,0.7,fashion_10way,supervised
l2_reg,l2,continuous,10,10,10,1.0,1.0,fashion_10way,supervised
hidden_size,hidden,continuous,10,10,10,1.0,1.0,fashion_10way,supervised
batch_size,batch,continuous,10,10,10,1.0,1.0,fashion_10way,supervised
depth,depth,categorical,2,2,2,1.0,1.0,fashion_10way,supervised
activation,activ.,categorical,3,3,3,1.0,1.0,fashion_10way,supervised
optimizer,optim.,categorical,2,2,2,1.0,1.0,fashion_10way,supervised
init_scale,init,categorical,2,2,2,1.0,1.0,fashion_10way,supervised
learning_rate,lr,continuous,10,10,9,1.0,0.9,spirals,supervised
l1_reg,l1,continuous,10,10,7,1.0,0.7,spirals,supervised
l2_reg,l2,continuous,10,10,9,1.0,0.9,spirals,supervised
hidden_size,hidden,continuous,10,10,10,1.0,1.0,spirals,supervised
batch_size,batch,continuous,10,10,10,1.0,1.0,spirals,supervised
depth,depth,categorical,2,2,2,1.0,1.0,spirals,supervised
activation,activ.,categorical,3,3,1,1.0,0.3333333333333333,spirals,supervised
optimizer,optim.,categorical,2,2,2,1.0,1.0,spirals,supervised
init_scale,init,categorical,2,2,2,1.0,1.0,spirals,supervised
learning_rate,lr,continuous,10,10,5,1.0,0.5,parity,supervised
l1_reg,l1,continuous,10,10,6,1.0,0.6,parity,supervised
l2_reg,l2,continuous,10,10,10,1.0,1.0,parity,supervised
hidden_size,hidden,continuous,10,10,10,1.0,1.0,parity,supervised
batch_size,batch,continuous,10,10,10,1.0,1.0,parity,supervised
depth,depth,categorical,2,2,2,1.0,1.0,parity,supervised
activation,activ.,categorical,3,3,1,1.0,0.3333333333333333,parity,supervised
optimizer,optim.,categorical,2,2,2,1.0,1.0,parity,supervised
init_scale,init,categorical,2,2,2,1.0,1.0,parity,supervised
learning_rate,lr,continuous,10,10,10,1.0,1.0,mnist_rnn,rnn
l1_reg,l1,continuous,10,10,6,1.0,0.6,mnist_rnn,rnn
l2_reg,l2,continuous,10,10,10,1.0,1.0,mnist_rnn,rnn
hidden_size,hidden,continuous,10,10,10,1.0,1.0,mnist_rnn,rnn
batch_size,batch,continuous,10,10,10,1.0,1.0,mnist_rnn,rnn
cell_type,cell,categorical,2,2,2,1.0,1.0,mnist_rnn,rnn
n_rnn_layers,layers,categorical,2,2,2,1.0,1.0,mnist_rnn,rnn
optimizer,optim.,categorical,2,2,2,1.0,1.0,mnist_rnn,rnn
init_scale,init,categorical,2,2,2,1.0,1.0,mnist_rnn,rnn
learning_rate,lr,continuous,10,10,10,1.0,1.0,cartpole,rl
l1_reg,l1,continuous,10,10,10,1.0,1.0,cartpole,rl
l2_reg,l2,continuous,10,10,10,1.0,1.0,cartpole,rl
